customerID,gender,SeniorCitizen,tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Risk_Probability,Marketing_Segment,Predicted_Churn_Flag
7590-VHVEG,Female,0,1,Month-to-month,DSL,Electronic check,29.85,29.85,No,0.5124477795104867,Medium risk: nurture,Yes
5575-GNVDE,Male,0,34,One year,DSL,Mailed check,56.95,1889.5,No,0.03658748100600261,Low risk: retain and upsell,No
3668-QPYBK,Male,0,2,Month-to-month,DSL,Mailed check,53.85,108.15,Yes,0.252900387876462,Low risk: retain and upsell,No
7795-CFOCW,Male,0,45,One year,DSL,Bank transfer (automatic),42.3,1840.75,No,0.028716854721539977,Low risk: retain and upsell,No
9237-HQITU,Female,0,2,Month-to-month,Fiber optic,Electronic check,70.7,151.65,Yes,0.7348575589962423,High risk: retention/win-back,Yes
9305-CDSKC,Female,0,8,Month-to-month,Fiber optic,Electronic check,99.65,820.5,Yes,0.7865796464799153,High risk: retention/win-back,Yes
1452-KIOVK,Male,0,22,Month-to-month,Fiber optic,Credit card (automatic),89.1,1949.4,No,0.470682418473689,Medium risk: nurture,Yes
6713-OKOMC,Female,0,10,Month-to-month,DSL,Mailed check,29.75,301.9,No,0.22404211523454393,Low risk: retain and upsell,No
7892-POOKP,Female,0,28,Month-to-month,Fiber optic,Electronic check,104.8,3046.05,Yes,0.5949359772803294,Medium risk: nurture,Yes
6388-TABGU,Male,0,62,One year,DSL,Bank transfer (automatic),56.15,3487.95,No,0.011236505137072804,Low risk: retain and upsell,No
9763-GRSKD,Male,0,13,Month-to-month,DSL,Mailed check,49.95,587.45,No,0.1749065395459982,Low risk: retain and upsell,No
7469-LKBCI,Male,0,16,Two year,No,Credit card (automatic),18.95,326.8,No,0.01633902291721751,Low risk: retain and upsell,No
8091-TTVAX,Male,0,58,One year,Fiber optic,Credit card (automatic),100.35,5681.1,No,0.23579044302151553,Low risk: retain and upsell,No
0280-XJGEX,Male,0,49,Month-to-month,Fiber optic,Bank transfer (automatic),103.7,5036.3,Yes,0.4387885679458304,Medium risk: nurture,Yes
5129-JLPIS,Male,0,25,Month-to-month,Fiber optic,Electronic check,105.5,2686.05,No,0.36702714607854026,Medium risk: nurture,Yes
3655-SNQYZ,Female,0,69,Two year,Fiber optic,Credit card (automatic),113.25,7895.15,No,0.032036809542039614,Low risk: retain and upsell,No
8191-XWSZG,Female,0,52,One year,No,Mailed check,20.65,1022.95,No,0.021029320118101116,Low risk: retain and upsell,No
9959-WOFKT,Male,0,71,Two year,Fiber optic,Bank transfer (automatic),106.7,7382.25,No,0.05188982392480705,Low risk: retain and upsell,No
4190-MFLUW,Female,0,10,Month-to-month,DSL,Credit card (automatic),55.2,528.35,Yes,0.14979999223140647,Low risk: retain and upsell,No
4183-MYFRB,Female,0,21,Month-to-month,Fiber optic,Electronic check,90.05,1862.9,No,0.475702744235286,Medium risk: nurture,Yes
8779-QRDMV,Male,1,1,Month-to-month,DSL,Electronic check,39.65,39.65,Yes,0.7554797874805543,High risk: retention/win-back,Yes
1680-VDCWW,Male,0,12,One year,No,Bank transfer (automatic),19.8,202.25,No,0.03218810835978106,Low risk: retain and upsell,No
1066-JKSGK,Male,0,1,Month-to-month,No,Mailed check,20.15,20.15,Yes,0.2422327289784555,Low risk: retain and upsell,No
3638-WEABW,Female,0,58,Two year,DSL,Credit card (automatic),59.9,3505.1,No,0.01025630279281297,Low risk: retain and upsell,No
6322-HRPFA,Male,0,49,Month-to-month,DSL,Credit card (automatic),59.6,2970.3,No,0.025196984824298007,Low risk: retain and upsell,No
6865-JZNKO,Female,0,30,Month-to-month,DSL,Bank transfer (automatic),55.3,1530.6,No,0.10140939863150773,Low risk: retain and upsell,No
6467-CHFZW,Male,0,47,Month-to-month,Fiber optic,Electronic check,99.35,4749.15,Yes,0.537040995246597,Medium risk: nurture,Yes
8665-UTDHZ,Male,0,1,Month-to-month,DSL,Electronic check,30.2,30.2,Yes,0.4285866944597815,Medium risk: nurture,Yes
5248-YGIJN,Male,0,72,Two year,DSL,Credit card (automatic),90.25,6369.45,No,0.022475332122774718,Low risk: retain and upsell,No
8773-HHUOZ,Female,0,17,Month-to-month,DSL,Mailed check,64.7,1093.1,Yes,0.3269634010357709,Medium risk: nurture,Yes
3841-NFECX,Female,1,71,Two year,Fiber optic,Credit card (automatic),96.35,6766.95,No,0.018161627074596468,Low risk: retain and upsell,No
4929-XIHVW,Male,1,2,Month-to-month,Fiber optic,Credit card (automatic),95.5,181.65,No,0.7057024914381108,High risk: retention/win-back,Yes
6827-IEAUQ,Female,0,27,One year,DSL,Mailed check,66.15,1874.45,No,0.03892176789618511,Low risk: retain and upsell,No
7310-EGVHZ,Male,0,1,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0.21319861561203524,Low risk: retain and upsell,No
3413-BMNZE,Male,1,1,Month-to-month,DSL,Bank transfer (automatic),45.25,45.25,No,0.3682105257562589,Medium risk: nurture,Yes
6234-RAAPL,Female,0,72,Two year,Fiber optic,Bank transfer (automatic),99.9,7251.7,No,0.01314170142847301,Low risk: retain and upsell,No
6047-YHPVI,Male,0,5,Month-to-month,Fiber optic,Electronic check,69.7,316.9,Yes,0.724956924781299,High risk: retention/win-back,Yes
6572-ADKRS,Female,0,46,Month-to-month,Fiber optic,Credit card (automatic),74.8,3548.3,No,0.1789395779754903,Low risk: retain and upsell,No
5380-WJKOV,Male,0,34,Month-to-month,Fiber optic,Electronic check,106.35,3549.25,Yes,0.6129839067473781,High risk: retention/win-back,Yes
8168-UQWWF,Female,0,11,Month-to-month,Fiber optic,Bank transfer (automatic),97.85,1105.4,Yes,0.6659358074754759,High risk: retention/win-back,Yes
8865-TNMNX,Male,0,10,One year,DSL,Mailed check,49.55,475.7,No,0.07700179291549045,Low risk: retain and upsell,No
9489-DEDVP,Female,0,70,Two year,DSL,Credit card (automatic),69.2,4872.35,No,0.009249513360501055,Low risk: retain and upsell,No
9867-JCZSP,Female,0,17,One year,No,Mailed check,20.75,418.25,No,0.037824386861929876,Low risk: retain and upsell,No
